No	Japanese	Translation	Note
145	彼女は自発的に皿洗らいをした。 	She did the dishes of her own accord.	Tự động
146	帽子を弄り回すのはやめなさい。 	Please stop playing with your hat.	
147	和服の展示会場では、華やかな絵巻物の世界に入り込んだような錯覚を覚えた。 	At the kimono exhibition, I had the illusion that I was walking into the world of an elegant picture scroll.	
148	先方が電話にお出になりました。 	Your party is on the line.	
149	「お母様の具合はどう」「それがあまりよくないんだ」。	 "How is your mother?"―"Well, I'm afraid she's not so well.".	
150	人にぬか喜びさせるとはけしからん。	It's inexcusable to get somebody's hopes up only to crush them!	Không thể chấp nhận được
151	これらの２つの分子が異なったスピードで動いていることを示すだけでは不十分である。 	It is not enough to show that these two particles are moving at different speed.	
152	あの奨学金がもらえなかったら、今でもあたふたしていたかもね。	I'd still be spinning my wheels if I hadn't gotten that scholarship.	
153	住民は行政の怠慢に対し, 行き場のない怒りを覚えている。	The citizens are filled with pent-up anger at the incompetence of the local government.	
154	慎重な検証が必要であるが、同時代史料が極めて少ないことから、重要な史料であることには変わりがない。	Careful assessment is required, but since the historical materials in that era are very few, they are still important as historical materials.	
155	人は生まれながら賢かったり愚かだったりするのか、それとも知性は生き方の結果なのか。	Are people born intelligent or stupid, or is intelligence the result of how you live?	
156	彼は交渉するには手強い人です。	He drives a hard bargain.	
157	手伝いたいけど、多分足手まといになるよね。 	I'd like to help, but I think I'd just get in your way.	
158	異常振動を感知して自動的に列車を止める装置。	A device to automatically stop a train when it senses abnormal vibrations.	
159	明日は朝イチで大事なミッションがあるのだ。こんなことしてる場合じゃない。 	Tomorrow, I've got an important mission first thing in the morning. I shouldn't be wasting my time with this.	
160	その話が彼の耳に届いた時にはずいぶん尾ひれがついていた。 	By the time the story reached his ears, it had already been highly embellished.	
161	私は緊張で頭の中が真っ白になった。 	My mind went blank from nervousness.	
162	全市に夜間外出禁止令が布かれた。	A curfew was imposed on the city.	
163	赤坊が毛糸の玉をもつれさせた。	The baby tangled the ball of yarn.	
164	雑巾とタオルを一緒くたにしてはいけない。	You shouldn't keep towels and cleaning rags together.	
165	言葉のなまりで彼女の国が知れた。 	Her accent gave her away.	
166	彼はぽかんとした顔つきでそこに立っていた。	He was standing there with a vacant look.	Vẻ mặt thẫn thờ
167	ここは彼女の忠告に従うのが得策だ。	You'd be ⌐well advised [wise] to do what she suggests.	Làm theo lời khuyên
168	パンダはささをえさにする。	Pandas feed on bamboo grass.	
169	年老いた旦那は身を乗り出して、やさしい口調で妻に聞いた。 	The old man leaned forward and asked his wife with a soft voice.	
170	彼女は恥じらいの色を隠すために顔をそむけた。 	She turned away to hide her blushes.	
171	種が芽を出すには空気と水が必要である。 	Seeds must have air and water to grow.	Nảy mầm
172	政治に対私の関心は専ら学問上のものです。 	My interest in politics is strictly academic.	Thuần
173	ボブは昆虫の視察に楽みを感じている。 	Bob derives pleasure from observing insects.	
174	彼は３軒先に住んでいます。 	He lives three doors off.	Sống cách đây 3 nhà
175	私は彼の話に大変感銘を受けた。 	I was much impressed by his speech.	
176	彼の話は脈絡がないので通じなかった。	His speech was difficult to understand because it was so disjointed.	(Câu cú) không logic
177	草原で羊の世話をする人を何と言いますか。 	What do you call a man who takes care of sheep in the field?	
178	自由と放任を取り違えてはならない。 	You must not confuse liberty with license.	
179	彼女との出会が彼の精神生活に潤いをもたらしている。	His encounter with her is enriching his inner life.	
180	彼は、粘土で優雅な壷を形作った。	He fashioned an elegant pot out of clay.	Tao nhã
181	 神の実在を信じますか。 	Do you believe in God?	
182	きのうは和牛が特売だった。 	Japanese beef was on sale yesterday.	
183	ほっそりとした姿に対する若い女性の願望は強い。 	Young girls' desire for slim figures is strong.	Thân hình thon thả
184	彼はある偉大な作家に紹介される栄光に浴した。	He had the honor of being presented to a great writer.	Được vinh dự
185	彼の名誉は貪欲によってむしばまれた。 	His honor was corroded by greed.	
186	女王は豪華な服装をしていた。 	The queen was richly appareled.	Quần áo lộng lẫy
187	宗教は、自暴自棄になった移民達を哀れんで助けを与たえた。 	The bishop took pity on the desperate immigrants.	
188	私は下宿させてもらっているのと交換にリーさんの子供に英語を教えている。 	I teach Mr Lee's children English in exchange for room and board.	
189	これがすべての中で最も重要な事柄だ。 	This is the most important matter of all.	
190	その通の両側に桜の木が並んでいる。 	There are cherry trees on each side of the street.	
191	橋の建設の入札が募られた。 	Bids were invited for building the bridge.	Mời thầu
192	物価の上昇は消費者の不安をつのらせています。 	Rising costs are fueling anxieties among consumers.	
193	粉と卵２個を混ぜなさい。 	Mix the flour with two eggs.	
194	彼はアメリカのジャズの起源を研究している。 	He is studying the origin of jazz in America.	Nguồn gốc của Jazz
195	毛糸は巻いて玉にする	Wool is wound (up) into a ball.	
196	私は学校での勉強とは別に、詩を書いている。	Apart from schoolwork, I write poetry.	Ngoài
197	別にサービス料を申し受けます。 	The service charge is extra.	
198	君はその事実をありのまま述べなければならない。 	You must state the fact as it is.	
199	そんなうそをついて自分の値打ちをさげるな。	Don't degrade yourself by telling such a lie.	Hạ thấp giá trị bản thân
200	彼が平凡な男性であることは一目でわかった。	I saw at a glance that he was an ordinary man.	Nhìn phát là biết
201	彼は計算が得意だ。 	He is good at arithmetic.	
202	その評言は痛烈にこたえた。	The remark cut deep.	
203	ポールはよく重いツールをずるずる引きずる。	 Paul often drags heavy tools with him	
204	彼女に話しかけようとするとき、私はいつでもとても恥ずかしくて、口ごもるとか、何かばかげたことを言う以上のことはできなかった。	When I tried to speak to her, I always found myself too shy to do more than stammer or say something stupid.	
205	この見地から歴史は２つの主要な時期に分けられる。 	From this standpoint history can be divided into two main epochs.	
206	首相が政敵の挑戦と真っ向から対決しました。	 The prime minister directly confronted the challenges of his political opponents.	Trực diện đối đầu
207	いぬは見知らぬ男に向かってうなった。	The dog growled at the strange man.	
208	彼らは逃亡を企てた。 	They attempted to escape.	
209	大抵の人は僕を気違がいだと思っている。 	Most people think I'm crazy.	
210	子供に少し愛情を注いで見たまえ、すると君におびただしい愛情が戻ってくる。 	Give a little love to a child, and you get a great deal back.	
211	教室に入って席に着くのとほぼ同時に、始業を知らせるチャイムの音が鳴り響く。 	About the same time as he entered the classroom and arrived at his seat, the chime to announce class rings across the school.	
212	すぐの前任者。	One's immediate predecessor.	
213	停職3か月の処分。	(The penalty of) three months' suspension from office/duty.	Đình chỉ việc 3 tháng
214	物はすべて一括して買うとやすい。 	You can get anything less expensive in bulk.	
215	クリスマスの近くになるといつもホームシックになる	Near Christmas, I always get homesick.	Nhớ nhà
216	足元に御用心願います。	 Do watch your step.	
217	ゼロという概念はヒンドゥー文化に由来している。 	The concept of zero sprang from the Hindu culture.	Khởi nguồn từ
218	わたしたちは互に慰め合った。	We consoled each other.	An ủi nhau
219	彼は私の前方を歩いた。	He walked ahead of me.	
220	我々ははるか前方に他の船を見た。 	We saw another ship far ahead.	
221	この時計は電気で動く。 	This clock is electric.	Chạy bằng điện
222	君がその提案を拒むのも当然だ。	It is no wonder that you are turning down the proposal.	
223	そこで私は自分の計画を断念した。	Accordingly I gave up my plans.	Vì vậy
224	警察官は続けてこう聞いた。「賞金は何にお使いになりますか」	 "What are you going to do with the money?", asked the policeman.	
225	生徒はみんな校則を知っていることになっている。	Every student is supposed to know the school regulations.	
226	彼女が今の名声を得るに至ったいきさつは劇的である。	The events that led up to her present fame are quite dramatic.	Quá trình dẫn tới
227	「そっかぁ、アルクさんはワーウルフなんですね」「俺は混血だから変身したりはしねーよ」	 "Oh, right, you're a werewolf, aren't you?" "I'm mixed blood, so I don't transform or anything."	
228	君の境遇はお察し申す。	I understand your situation.	
229	何なりと君が一番いいと思う方法でやりなさい。 	Do it by whichever method you think best	
230	新製品の優秀さは口コミでひろまった。 	The excellence of the new product spread widely ⌐by word of mouth [through the grapevine].	Sản phẩm tuyệt vời
231	まさかと思うだろうが、彼女には子供が３人いる。 	Believe it or not, she has three children.	Nghe có vẻ khó tin
232	心理学的に方向づけられた書物	A psychologically oriented book 	
233	彼は賄賂の受け取りを拒否した。 	He refused to take the bribe.	
234	それにはどれ位の時間と労力が必要だろうか？	How much time and labor is required for that?	
235	彼女だけは一人超然としていた。 	She alone remained unmoved.	
236	オリンピック大会はその本来の精神と合致しなくなっている。	The (modern) Olympic games are out of accord with the original spirit of the Olympics.	
237	彼と長いことおしゃべりをした	I had a long chat with him.	Nói chuyện hồi lâu
238	それは作りやすいし、しかも安い。	It's easy to make and it's cheap.	
239	私と彼はいつも相性がよい。 	I always get along well with him.	Hợp nhau
240	初めのうちは私は自分の誤りが気になりました。	I was worried about my mistakes at first.	
241	今日は何もしないで家でごろごろしていたい気分だよ。 	Today I just feel like staying at home and doing nothing.	
242	絶望的な戦いの中、貴君の師団が善戦したことは高く評価されている。 	Your division was highly praised for fighting well in the midst of a hopeless conflict.	
243	日本では駅での整然とした行列を見ることができる。 	In Japan, you can see the orderly lines at stations.	Hàng lối ngay ngắn
244	注目すべき重要な点は、両方の政党がこの問題に対しては似たような解決策を提示したことである。 	The important point to note is that both parties offered similar solutions to this problem.	Điểm quan trọng cần chú ý
245	向上心を欠く。 	Lack [have no] ambition; do not have any desire to improve oneself	Thiếu ý chí phấn đấu
246	冬になると夜が長くなり昼がみじかくなり、子供たちがスケートをしたりそりにのったりするのをみました。	In the winter, when the nights were long and the days short, she watched the children coasting and skating.	
247	それは定石通りというだけで、手を抜いたわけではないのです。 	That's just standard practise, it's not like they're cutting corners.	
248	ボブについていえば、彼はどんなことでも受け入れるタイプだが、ジェーンは対照的にとても慎重派だ。 	As far as Bob is concerned, anything goes. By contrast, Jane is very cautious.	
249	幾多の曲折を経て交渉がまとまった。 	After many twists and turns the negotiations reached a settlement.	Trải qua nhiều chông gai
250	発作的な犯行[自殺]。 	A ⌐crime [suicide] committed in a fit of despair.	
251	彼は馬をさくにつないでいた。 	He was tying his horse to the fence.	
252	生産地から消費地への輸送コスト。 	Transport cost from production to consumption area.	
253	のどが詰まった感じです。 	My throat feels clogged up.	
254	あなたの瞳に、吸い込まれそう！ 	I feel like I'm being drawn into your eyes.	
255	彼は息を深くすいこんだ。	He drew a deep breath.	
256	私を見たとき、犬は尾を振った。	Seeing me, the dog wagged his tail.	
257	彼は欲の少ない人だ。	He is a man of few wants.	
258	旅費はせいぜい千ドルだろう。 	At the most, the trip will cost $1,000.	
259	私は妹ほど衣装にお金を使いません。 	I spend less money on clothes than my sister does.	
260	キャサリンが新車を買うように父にねだった時には下心があったのだ。彼女は自分が乗りまわすことができると思ったから。 	Catherine had an ulterior motive when she urged her father to buy a new car. She hoped that she'd be able to drive it herself.	
261	これだと信じて歩いていると、色々な苦難にぶつかり、志の強さを試されているのです。 	Suffering many hardships and overcoming many trials to come to a certain point will test one's strength of will.	Thử ý chí
262	彼はかなり仕事が出来るが率先力にかける。	He is quite good at his job, but lacks initiative.	
263	私はそれを失う危険を冒かしたくない。	I don't want to risk losing it.	
264	事態は好転するものと思っていたが、実情を言えば、悪化している。 	We expected that things would get better, but, as it is, they are getting worse.	Khá lên
265	みんなが応援してくれたので, 僕はますます強気になった。	As everyone supported me, I took more courage.	
266	明日はあなたはつまっていますか。 	Are you engaged for tomorrow?	Kín lịch
267	薬缶から湯気が立っている。 	The kettle is steaming.	
268	君の服装は場所にそぐわない。 	Your dress is unsuitable for the occasion.	
269	彼を少し気の毒に感じます。	I feel kind of sorry for him.	Thấy tội thay cho anh ta
270	私は右足を負傷した。 	I got my right leg injured.	Bị thương ở chân phải
271	その記事を最後まで読みなさい。 	Read through the article.	Đọc hết/toàn bộ
272	彼はその役にぴったりはまっている.	He is the very man for the post.	
273	今一番はまっている事は？	What is the thing you are hooked on the most?	
274	彼女の話は私の両親の想い出を呼び戻してくれる。	Her story bring back memories of my parents.	Gợi lại ký ức
275	貴殿のご親切には、お礼の申し上げようもございません。	I cannot thank enough for your kindness.	
276	いずれの場合にも、この結果は xterm が設定する TERMCAP 変数に反映される。	In either case, the result is applied to the TERMCAPvariable which xterm sets.	Trong cả hai trường hợp
277	どこともなく消え失せた	He vanished no one knows where	
278	いずれそんな事になるだろうと思った	I expected as much.｜That's what I expected.	
279	今はこれといってすることがない。 	I have nothing particular to do now.	
280	そこまでやったんなら全部やってしまえばいいじゃない。 	Since you've done that much, why don't you just finish it up?	Làm hết luôn
281	そこまで言わなくてもいいじゃないか。 	Surely you don't have to say that. ｜ Isn't it going a bit too far (to say that)?	
282	もっぱら意志の力によって	by sheer force of will	
283	僕たちは苦楽を共にしてきた仲だ。 	We have been great friends through thick and thin.	
284	特に2011 年末の伸びが高く、クリスマス商戦の好調の一助になったと考えられる。	In particular, the increase was high at the end of 2011, contributing to a high level of sales on Christmas business	Đóng góp vào
285	世の中の風潮に合わせる。 	Swim [go] with the ⌐stream [current, tide].	
286	息もつかずに駆けつけた	I ran to the scene without stopping to draw breath	Dừng lấy hơi
287	難民たちの行く手には厳しい飢えと寒さが立ちはだかった。 	Severe starvation and cold stood in the refugees' path.	
288	私が論文を出し忘れないよう念を押してください。 	Please remind me to turn in the paper.	Nhắc nộp
289	もし見落としのために未払いになっているのでしたら、お支払いいただいて、この問題を早急に片づけさせてください。 	If an oversight is the reason why you have not paid, please send us the amount due, and let us solve the problem immediately.	Sai sót
290	世界経済に暗雲が漂いはじめている。 	Dark clouds have begun to hang over the world economy.	
291	だいたい君の言うとおりだ。	You're about right	Đại khái là thế
292	翻訳を誤る	to mistranslate	
293	壁紙の柄が気に入らない	I don't like the wallpaper design.	Không thích
294	彼らは一試合も勝てなかったので、意気消沈した。 	They lost heart because they had won no games.	Không thắng trận nào
295	彼はやたらに故事来歴に詳わしいけれど、それが人生の役に立っているのかはなはだ疑問だね。 	He has a great storehouse of knowledge about historical details but I seriously doubt that's of any use in life.	Có ích lợi gì đối với cuộc đời
296	それが何の役に立つんだ。	What good will that do?	
297	italki先生のために、私達は最近はじめにteach.italki.com、先生向けの改良された機能を備えた完全なプラットフォームをリリースしました。		Có chức năng
298	チームの団結は勝利のための第一要件である。 	Cooperation among team members is the first requisite for victory.	Điều kiện tiên quyết cho chiến thắng
299	ファン達は有名人と出くわすなり、彼にサインを求めた。 	On encountering the celebrity, the fans asked for his autograph.	Xin chữ ký
300	私はパーティーで何人かの旧友に出会った。 	I ran across some old friends at the party.	
301	エプロンの紐を結んでください。 	Tie the apron.	
302	休養するどころかかえっていつもより仕事に励んだ。 	Instead of taking a rest, he worked much harder than usual.	
303	髪を風になびかせて、少女が走ってきた。 	A girl came running, with her hair streaming in the wind.	
304	彼は多くの困難を克服した。	He has overcome many obstacles.	
305	女性は余りにも長い間不公平な待遇に甘んじてきた。 	Women have been resigned to unjust treatment for too long.	
306	あの科学者たちは選り抜きだ。 	Those scientists are the cream of the crop.	Tinh hoa
307	親愛なる・・・さん	Gửi ... thân mến	
308	大声でしゃべりたい衝動にかられた。 	I felt an impulse to cry out loud.	
309	この箱で食卓の用が足りる	This box will serve the purpose of a table―serve for a table―do for a table.	
310	工場がフル稼働しても需要に追いつかない。 	Even running the factory (line) all-out, we can't keep up with demand.	Không theo kịp nhu cầu
311	上司におべっかを使って点を稼いだ	I tried to curry favor with my boss by complimenting him	Ghi điểm
312	交通警察官	Cảnh sát giao thông	
313	私は会場の後ろに座った。 	We sat at the back of the hall.	Ngồi cuối hội trường
314	15時ちょい前に	Trước 3 giờ chiều một xíu	
315	10件中4件の作業は完了しました。	Tôi đã làm xong 4/10 đầu việc	
316	彼は６行のうちに６つまちがいをした。 	He made six mistakes in as many lines.	Mắc lỗi
317	その手紙には強制的なひびきがあるし、さらに悪いことには、思いやりがない。 	The letter sounds forced, what is worse, insincere.	
318	突如その職員がキレた。 	All of a sudden, the clerk lost his temper.	Nổi đóa
319	我々はこの計画が非常識であることを承知している。 	We understand that this plan is absurd.	Chúng tôi hiểu rằng/biết rằng
320	スミスさんにつないで下ださい。 	Please connect me with Mr Smith.	Cho tôi nối máy tới ngài Smith
